"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Slc2a1",0,6.67257658659215,0.954,0.064,0
"Itm2a",0,6.682264726433,0.989,0.105,0
"Slco1c1",0,12.1366794690192,0.875,0.001,0
"Spock2",0,5.50867321410393,0.916,0.045,0
"Slco1a4",0,5.22074470332421,0.929,0.068,0
"Pglyrp1",0,5.58399951978274,0.83,0.04,0
"Wfdc1",0,3.87540316700713,0.832,0.08,0
"Ptn",0,2.68327002878322,0.83,0.089,0
"Lsr",0,4.07339298833011,0.802,0.068,0
"Foxq1",0,7.94773290501713,0.719,0.006,0
"Sgms1",0,3.77835969681931,0.893,0.199,0
"Slc22a8",0,9.52896039133016,0.665,0.003,0
"Prom1",0,5.98183068404628,0.69,0.031,0
"Ctsh",0,3.53442885409261,0.738,0.084,0
"Slc7a5",0,3.03378374011965,0.728,0.091,0
"Mt1",0,2.83113598805516,0.729,0.093,0
"Vwa1",0,3.17003158462908,0.942,0.309,0
"Pcp4l1",0,2.34695353299581,0.913,0.282,0
"Lef1",0,5.19057922237944,0.645,0.031,0
"Abcb1a",0,2.61559481293097,0.781,0.173,0
"Fn1",0,4.15418479486875,0.664,0.059,0
"Gsta4",0,5.25439111713469,0.638,0.033,0
"Gpcpd1",0,3.56039463067324,0.713,0.113,0
"Ocln",0,4.9604771481773,0.636,0.037,0
"Isyna1",0,3.21508994662541,0.699,0.106,0
"Ablim1",0,3.34342163905393,0.787,0.194,0
"Plpp3",0,-4.69805085024244,0.062,0.655,0
"Gpihbp1",0,-14.4382676290866,0.004,0.595,0
"Fabp4",0,-9.21991580706204,0.037,0.62,0
"Pltp",0,3.15419187001124,0.991,0.41,0
"Degs2",0,5.3206628364767,0.601,0.023,0
"Hspa1a",0,3.42199393784432,0.843,0.265,0
"Mpzl1",0,2.68100773474685,0.818,0.241,0
"Plvap",0,-7.67897112198873,0.034,0.604,0
"Igf1r",0,3.59753595163359,0.64,0.076,0
"Cd36",0,-9.92065125134874,0.01,0.569,0
"Glul",0,2.47182221332425,0.917,0.359,0
"Itih5",0,5.87345211519731,0.579,0.021,0
"Tspan7",0,-6.36551387439735,0.036,0.593,0
"Slc38a3",0,12.0329758095297,0.551,0,0
"Pllp",0,2.55351122926459,0.66,0.11,0
"Foxf2",0,7.48393406357534,0.554,0.004,0
"Slc6a6",0,2.55635934443688,0.895,0.347,0
"Abcg2",0,2.28025011044301,0.836,0.294,0
