"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome","Group"
"HGNC:102","CNNM1","cyclin and CBS domain divalent metal cation transport mediator 1","ACDP1","SLC70A1","10q24.2","Cyclin and CBS domain divalent metal cation transport mediators"
"HGNC:103","CNNM2","cyclin and CBS domain divalent metal cation transport mediator 2","ACDP2","SLC70A2","10q24.32","Cyclin and CBS domain divalent metal cation transport mediators"
"HGNC:104","CNNM3","cyclin and CBS domain divalent metal cation transport mediator 3","ACDP3","SLC70A3","2q11.2","Cyclin and CBS domain divalent metal cation transport mediators"
"HGNC:105","CNNM4","cyclin and CBS domain divalent metal cation transport mediator 4","ACDP4","SLC70A4,KIAA1592","2q11.2","Cyclin and CBS domain divalent metal cation transport mediators"
"HGNC:10939","SLC1A1","solute carrier family 1 member 1","","EAAC1,EAAT3,hEAAC1","9p24.2","Solute carrier family 1"
"HGNC:10940","SLC1A2","solute carrier family 1 member 2","","GLT-1,GLT1,EAAT2,HBGT","11p13","Solute carrier family 1"
"HGNC:10941","SLC1A3","solute carrier family 1 member 3","","EAAT1,GLAST,EA6,GLAST1,GLAST-1","5p13.2","Solute carrier family 1"
"HGNC:10942","SLC1A4","solute carrier family 1 member 4","","SATT,ASCT1,ASCT-1","2p14","Solute carrier family 1"
"HGNC:10943","SLC1A5","solute carrier family 1 member 5","RDRC,M7V1","AAAT,ASCT2","19q13.32","Solute carrier family 1"
"HGNC:10944","SLC1A6","solute carrier family 1 member 6","","EAAT4","19p13.12","Solute carrier family 1"
"HGNC:10945","SLC1A7","solute carrier family 1 member 7","","EAAT5","1p32.3","Solute carrier family 1"
"HGNC:11005","SLC2A1","solute carrier family 2 member 1","GLUT1,GLUT,HTLVR,CSE","DYT18,DYT9,GLUT-1","1p34.2","Solute carrier family 2"
"HGNC:11006","SLC2A2","solute carrier family 2 member 2","GLUT2","GLUT-2","3q26.2","Solute carrier family 2"
"HGNC:11007","SLC2A3","solute carrier family 2 member 3","GLUT3","","12p13.31","Solute carrier family 2"
"HGNC:11009","SLC2A4","solute carrier family 2 member 4","GLUT4","","17p13.1","Solute carrier family 2"
"HGNC:11010","SLC2A5","solute carrier family 2 member 5","GLUT5","","1p36.23","Solute carrier family 2"
"HGNC:11011","SLC2A6","solute carrier family 2 member 6","","GLUT9,GLUT6,HSA011372","9q34.2","Solute carrier family 2"
"HGNC:13445","SLC2A7","solute carrier family 2 member 7","","GLUT7","1p36.23","Solute carrier family 2"
"HGNC:13812","SLC2A8","solute carrier family 2 member 8","","GLUTX1,GLUT8","9q33.3","Solute carrier family 2"
"HGNC:13446","SLC2A9","solute carrier family 2 member 9","","Glut9,GLUTX,URATv1","4p16.1","Solute carrier family 2"
"HGNC:13444","SLC2A10","solute carrier family 2 member 10","","GLUT10,GLUT-10","20q13.12","Solute carrier family 2"
"HGNC:14239","SLC2A11","solute carrier family 2 member 11","","GLUT11","22q11.23","Solute carrier family 2"
"HGNC:18067","SLC2A12","solute carrier family 2 member 12","","GLUT12,GLUT8","6q23.2","Solute carrier family 2"
"HGNC:15956","SLC2A13","solute carrier family 2 member 13","","HMIT","12q12","Solute carrier family 2"
"HGNC:18301","SLC2A14","solute carrier family 2 member 14","SLC2A3P3","GLUT14","12p13.31","Solute carrier family 2"
"HGNC:11025","SLC3A1","solute carrier family 3 member 1","","CSNU1,D2H,RBAT,ATR1,NBAT","2p21","Solute carrier family 3"
"HGNC:11026","SLC3A2","solute carrier family 3 member 2","MDU1","4T2HC,4F2,NACAE,CD98,CD98HC,4F2HC","11q12.3","Solute carrier family 3"
"HGNC:11027","SLC4A1","solute carrier family 4 member 1 (Diego blood group)","EPB3,AE1,DI,WD","RTA1A,CD233,FR,SW,WR,EMPB3","17q21.31","Solute carrier family 4"
"HGNC:11028","SLC4A2","solute carrier family 4 member 2","EPB3L1,AE2","HKB3,BND3L,NBND3","7q36.1","Solute carrier family 4"
