"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Slc6a20a",0,4.12805503417721,0.759,0.096,0
"Pde8b",0,4.53161967472314,0.76,0.097,0
"Higd1b",0,2.90632900256933,0.937,0.297,0
"Cd9",0,-4.65048724700498,0.195,0.833,0
"Slc22a8",0,5.95517005381657,0.708,0.07,0
"Atp13a5",0,4.64497481568843,0.764,0.129,0
"P2ry14",0,3.79987058126779,0.84,0.208,0
"eGFP",0,3.33437379678315,0.764,0.147,0
"Pla1a",0,4.50438777875216,0.77,0.185,0
"Ggt1",0,6.66608094750439,0.638,0.054,0
"Slc30a10",0,4.66125706454423,0.644,0.063,0
"Slc19a1",0,3.13740331674299,0.75,0.173,0
"Kcnj8",0,3.84238109661664,0.929,0.354,0
"Ptn",0,4.20664973096374,0.788,0.214,0
"Abcc9",0,3.88229346070807,0.906,0.345,0
"Vtn",0,4.46678203611093,0.939,0.388,0
"Plxdc2",0,3.96402749263194,0.84,0.29,0
"Art3",0,3.24364753375696,0.854,0.344,0
"Vim",0,-3.21405279379812,0.45,0.917,0
"Atp1a2",0,3.60003227433734,0.85,0.426,0
"Crip1",0,-2.31343116495238,0.583,0.973,0
"Pdgfrb",0,2.51504338763239,0.905,0.524,0
"Gatm",1.55095065200982e-303,4.45360271831593,0.661,0.112,3.89118009082744e-299
"Gper1",2.63976477542883e-298,2.99312336254491,0.75,0.169,6.62290584507339e-294
"AW549542",5.25367716516696e-295,3.03877007218481,0.689,0.105,1.31809506396874e-290
"Rgs5",5.59802041820973e-295,1.68689433901154,0.999,0.542,1.40448734272464e-290
"Uchl1",1.87127133985622e-290,4.74440134434924,0.647,0.118,4.69483266456527e-286
"Plxdc1",2.82837846779873e-288,3.70661750915023,0.698,0.151,7.09611873786024e-284
"Sept4",6.98013712162359e-288,2.78037121061732,0.82,0.368,1.75124660244414e-283
"Tenc1",7.35781390942925e-277,2.7021996172543,0.714,0.146,1.8460019317367e-272
"Grm3",9.30082668713957e-277,5.01006818868106,0.531,0.039,2.33348440753645e-272
