"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Slc2a1",0,6.67257658659215,0.954,0.064,0
"2","Slco1c1",0,12.1366794690192,0.875,0.001,0
"3","Slc22a8",0,9.52896039133016,0.665,0.003,0
"4","Slc7a5",0,3.03378374011965,0.728,0.091,0
"5","Slc38a3",0,12.0329758095297,0.551,0,0
"6","Slc6a6",0,2.55635934443688,0.895,0.347,0
"7","Slc7a1",0,4.91450584340477,0.575,0.042,0
"8","Slc39a10",0,3.95114223468043,0.605,0.076,0
"9","Slc40a1",0,4.53128292330697,0.569,0.049,0
"10","Mfsd2a",0,3.3563718598218,0.573,0.06,0
"11","Slc16a4",0,4.20815228150936,0.463,0.035,0
"12","Slc1a1",0,5.26630398749269,0.436,0.016,0
"13","Slc43a3",0,-5.0824919462115,0.022,0.438,0
"14","Slco2b1",0,3.54759928701487,0.474,0.065,0
"15","Slc16a2",0,2.68751013168597,0.49,0.098,0
"16","Slc38a5",0,11.4613905525123,0.389,0,0
"17","Ucp2",0,1.86377349220053,0.602,0.24,0
"18","Slco2a1",0,-5.91562671504533,0.02,0.359,0
"19","Slc3a2",0,1.3276507975172,0.845,0.515,0
"20","Slc31a1",0,2.96215178238651,0.405,0.078,0
"21","Slc16a1",0,2.889636132954,0.432,0.107,0
"22","Slc19a3",0,6.94529385803403,0.309,0.004,0
"23","Slc39a8",0,2.28978820850668,0.379,0.085,0
"24","Slc30a1",0,1.80561927745894,0.394,0.104,0
"25","Slc52a3",0,2.64468854549701,0.33,0.06,0
"26","Slc35f2",0,4.02044452887044,0.289,0.024,0
"27","Mfsd7c",0,4.84840345193431,0.272,0.012,0
"28","Slc29a1",0,-2.37210965238622,0.123,0.381,0
"29","Tmem184b",0,1.05261096015041,0.447,0.203,0
"30","Net1",0,2.78742129308632,0.278,0.044,0
"31","Slc52a2",0,3.44912833990153,0.247,0.021,0
"32","Slc46a3",0,2.92977119074829,0.231,0.032,0
"33","Stra6",0,10.6502550614177,0.198,0,0
"34","Sfxn3",0,1.35616342576047,0.305,0.112,0
